year,Program,Total
2011,Total,678606
2011,U.S. Border Patrol (USBP),340252
2011,ICE Homeland Security Investigations (HSI),16261
2011,ICE Enforcement and Removal Operations (ERO)3,322093
2012,Total,671327
2012,U.S. Border Patrol (USBP),364768
2012,ICE Homeland Security Investigations (HSI),15937
2012,ICE Enforcement and Removal Operations (ERO)3,290622
2013,Total,662483
2013,U.S. Border Patrol (USBP),420789
2013,ICE Homeland Security Investigations (HSI),11996
2013,ICE Enforcement and Removal Operations (ERO)3,229698
2014,Total,679996
2014,U.S. Border Patrol (USBP),486651
2014,ICE Homeland Security Investigations (HSI),11626
2014,ICE Enforcement and Removal Operations (ERO)3,181719
2015,Total,462388
2015,U.S. Border Patrol (USBP),337117
2015,ICE Homeland Security Investigations (HSI),7288
2015,ICE Enforcement and Removal Operations (ERO)3,117983
2016,Total,530250
2016,U.S. Border Patrol (USBP),415816
2016,ICE Homeland Security Investigations (HSI),4330
2016,ICE Enforcement and Removal Operations (ERO)3,110104
2017,Total,461540
2017,U.S. Border Patrol (USBP),310531
2017,ICE Homeland Security Investigations (HSI),7539
2017,ICE Enforcement and Removal Operations (ERO)3,143470
2018,Total,572566
2018,U.S. Border Patrol (USBP),404142
2018,ICE Homeland Security Investigations (HSI),9843
2018,ICE Enforcement and Removal Operations (ERO)3,158581
2019,Total,1013539
2019,U.S. Border Patrol (USBP),859501
2019,ICE Homeland Security Investigations (HSI),10939
2019,ICE Enforcement and Removal Operations (ERO)3,143099
2020,Total,518597
2020,U.S. Border Patrol (USBP),405020
2020,ICE Homeland Security Investigations (HSI),9974
2020,ICE Enforcement and Removal Operations (ERO)3,103603
