year,ICE_Enforcement_Removal_Area,Total
2011,Total administrative arrests,322093
2011,"Atlanta, GA",26688
2011,"Baltimore, MD",3178
2011,"Boston, MA",5390
2011,"Buffalo, NY",1635
2011,"Chicago, IL",18739
2011,"Dallas, TX",18808
2011,"Denver, CO",7324
2011,"Detroit, MI",7304
2011,"El Paso, TX",5046
2011,"Houston, TX",19579
2011,"Los Angeles, CA",33728
2011,"Miami, FL",15940
2011,"New Orleans, LA",14258
2011,"New York, NY",7245
2011,"Newark, NJ",5539
2011,"PhilaDelphia, PA",5668
2011,"Phoenix, AZ",14953
2011,"Saint Paul, MN",7770
2011,"Salt Lake City, UT",8730
2011,"San Antonio, TX",28292
2011,"San Diego, CA",13016
2011,"San Francisco, CA",31430
2011,"Seattle, WA",9714
2011,"Washington, 0C",8322
2011,Headquarters,38
2011,Unknown,3759
2012,Total administrative arrests,290622
2012,"Atlanta, GA",24312
2012,"Baltimore, MD",2953
2012,"Boston, MA",5268
2012,"Buffalo, NY",1666
2012,"Chicago, IL",15455
2012,"Dallas, TX",16515
2012,"Denver, CO",6008
2012,"Detroit, MI",6886
2012,"El Paso, TX",4407
2012,"Houston, TX",17126
2012,"Los Angeles, CA",31078
2012,"Miami, FL",16011
2012,"New Orleans, LA",12584
2012,"New York, NY",6532
2012,"Newark, NJ",5589
2012,"PhilaDelphia, PA",5092
2012,"Phoenix, AZ",13113
2012,"Saint Paul, MN",6960
2012,"Salt Lake City, UT",7535
2012,"San Antonio, TX",28947
2012,"San Diego, CA",11196
2012,"San Francisco, CA",26386
2012,"Seattle, WA",8801
2012,"Washington, 0C",7383
2012,Headquarters,31
2012,Unknown,3759
2013,Total administrative arrests,229698
2013,"Atlanta, GA",17480
2013,"Baltimore, MD",2562
2013,"Boston, MA",3908
2013,"Buffalo, NY",1668
2013,"Chicago, IL",11817
2013,"Dallas, TX",15882
2013,"Denver, CO",4819
2013,"Detroit, MI",5374
2013,"El Paso, TX",3244
2013,"Houston, TX",13866
2013,"Los Angeles, CA",24582
2013,"Miami, FL",11147
2013,"New Orleans, LA",8972
2013,"New York, NY",5560
2013,"Newark, NJ",4380
2013,"PhilaDelphia, PA",4980
