year,Sectors,Total,,,,,,
2011,Total Apprehensions,"340,252",,,,,,
2011,Southwest sectors,"327,577",,,,,,
2011,"Big Bend, TX","4,036",,,,,,
2011,"Del Rio, TX","16,144",,,,,,
2011,"El Centro, CA","30,191",,,,,,
2011,"El Paso, TX","10,345",,,,,,
2011,"Laredo, TX","36,053",,,,,,
2011,"Rio Grande Valley, TX","59,243",,,,,,
2011,"San Diego, CA","42,447",,,,,,
2011,"Tucson, AZ","123,285",,,,,,
2011,"Yuma, AZ","5,833",,,,,,
2011,Other sectors,"12,675",,,,,,
2011,"Blaine, WA",591,,,,,,
2011,"Buffalo, NY","2,114",,,,,,
2011,"Detroit, MI","1,531",,,,,,
2011,"Grand Forks, ND",468,,,,,,
2011,"Havre, MT",270,,,,,,
2011,"Houlton, ME",41,,,,,,
2011,"Miami, FL","4,401",,,,,,
2011,"New Orleans, LA","1,509",,,,,,
2011,"Ramey, PR",642,,,,,,
2011,"Spokane, WA",293,,,,,,
2011,"Swanton, VT",815,,,,,,
2012,Total Apprehensions,"364,768",,,,,,
2012,Southwest sectors,"356,873",,,,,,
2012,"Big Bend, TX","3,964",,,,,,
2012,"Del Rio, TX","21,720",,,,,,
2012,"El Centro, CA","23,916",,,,,,
2012,"El Paso, TX","9,678",,,,,,
2012,"Laredo, TX","44,872",,,,,,
2012,"Rio Grande Valley, TX","97,762",,,,,,
2012,"San Diego, CA","28,461",,,,,,
2012,"Tucson, AZ","120,000",,,,,,
2012,"Yuma, AZ","6,500",,,,,,
2012,Other sectors,"7,895",,,,,,
2012,"Blaine, WA",537,,,,,,
2012,"Buffalo, NY","1,143",,,,,,
2012,"Detroit, MI",950,,,,,,
2012,"Grand Forks, ND",418,,,,,,
2012,"Havre, MT",102,,,,,,
2012,"Houlton, ME",41,,,,,,
2012,"Miami, FL","2,509",,,,,,
2012,"New Orleans, LA",474,,,,,,
2012,"Ramey, PR",702,,,,,,
2012,"Spokane, WA",317,,,,,,
2012,"Swanton, VT",702,,,,,,
2013,Total Apprehensions,"420,789",,,,,,
2013,Southwest sectors,"414,397",,,,,,
2013,"Big Bend, TX","3,684",,,,,,
2013,"Del Rio, TX","23,510",,,,,,
2013,"El Centro, CA","16,306",,,,,,
2013,"El Paso, TX","11,154",,,,,,
2013,"Laredo, TX","50,749",,,,,,
2013,"Rio Grande Valley, TX","154,453",,,,,,
2013,"San Diego, CA","27,496",,,,,,
2013,"Tucson, AZ","120,939",,,,,,
2013,"Yuma, AZ","6,106",,,,,,
2013,Other sectors,"6,392",,,,,,
2013,"Blaine, WA",360,,,,,,
2013,"Buffalo, NY",796,,,,,,
2013,"Detroit, MI",650,,,,,,
2013,"Grand Forks, ND",469,,,,,,
2013,"Havre, MT",88,,,,,,
2013,"Houlton, ME",37,,,,,,
2013,"Miami, FL","1,738",,,,,,
2013,"New Orleans, LA",500,,,,,,
2013,"Ramey, PR",924,,,,,,
2013,"Spokane, WA",299,,,,,,
2013,"Swanton, VT",531,,,,,,
2014,Total Apprehensions,"486,651",,,,,,
2014,Southwest sectors,"479,371",,,,,,
2014,"Big Bend, TX","4,096",,,,,,
2014,"Del Rio, TX","24,255",,,,,,
2014,"El Centro, CA","14,511",,,,,,
2014,"El Paso, TX","12,339",,,,,,
2014,"Laredo, TX","44,049",,,,,,
