year,Program,Total
2011,Total,"678,606"
2011,U.S. Border Patrol (USBP),"340,252"
2011,ICE Homeland Security Investigations (HSI),"16,261"
2011,ICE Enforcement and Removal Operations (ERO)3,"322,093"
2012,Total,"671,327"
2012,U.S. Border Patrol (USBP),"364,768"
2012,ICE Homeland Security Investigations (HSI),"15,937"
2012,ICE Enforcement and Removal Operations (ERO)3,"290,622"
2013,Total,"662,483"
2013,U.S. Border Patrol (USBP),"420,789"
2013,ICE Homeland Security Investigations (HSI),"11,996"
2013,ICE Enforcement and Removal Operations (ERO)3,"229,698"
2014,Total,"679,996"
2014,U.S. Border Patrol (USBP),"486,651"
2014,ICE Homeland Security Investigations (HSI),"11,626"
2014,ICE Enforcement and Removal Operations (ERO)3,"181,719"
2015,Total,"462,388"
2015,U.S. Border Patrol (USBP),"337,117"
2015,ICE Homeland Security Investigations (HSI),"7,288"
2015,ICE Enforcement and Removal Operations (ERO)3,"117,983"
2016,Total,"530,250"
2016,U.S. Border Patrol (USBP),"415,816"
2016,ICE Homeland Security Investigations (HSI),"4,330"
2016,ICE Enforcement and Removal Operations (ERO)3,"110,104"
2017,Total,"461,540"
2017,U.S. Border Patrol (USBP),"310,531"
2017,ICE Homeland Security Investigations (HSI),"7,539"
2017,ICE Enforcement and Removal Operations (ERO)3,"143,470"
2018,Total,"572,566"
2018,U.S. Border Patrol (USBP),"404,142"
2018,ICE Homeland Security Investigations (HSI),"9,843"
2018,ICE Enforcement and Removal Operations (ERO)3,"158,581"
2019,Total,"1,013,539"
2019,U.S. Border Patrol (USBP),"859,501"
2019,ICE Homeland Security Investigations (HSI),"10,939"
2019,ICE Enforcement and Removal Operations (ERO)3,"143,099"
2020,Total,"518,597"
2020,U.S. Border Patrol (USBP),"405,020"
2020,ICE Homeland Security Investigations (HSI),"9,974"
2020,ICE Enforcement and Removal Operations (ERO)3,"103,603"
