year ,ICE_Enforcement_Removal Area ,Total 
2011,Total a0ministrative arrests,"322,093"
2011,"Atlanta, GA","26,688"
2011,"Baltimore, M0","3,178"
2011,"Boston, MA","5,390"
2011,"Buffalo, NY","1,635"
2011,"Chicago, IL","18,739"
2011,"0allas, T0","18,808"
2011,"0enver, CO","7,324"
2011,"0etroit, MI","7,304"
2011,"El Paso, T0","5,046"
2011,"Houston, T0","19,579"
2011,"Los Angeles, CA","33,728"
2011,"Miami, FL","15,940"
2011,"New Orleans, LA","14,258"
2011,"New York, NY","7,245"
2011,"Newark, NJ","5,539"
2011,"Phila0elphia, PA","5,668"
2011,"Phoeni0, AZ","14,953"
2011,"Saint Paul, MN","7,770"
2011,"Salt Lake City, UT","8,730"
2011,"San Antonio, T0","28,292"
2011,"San 0iego, CA","13,016"
2011,"San Francisco, CA","31,430"
2011,"Seattle, WA","9,714"
2011,"Washington, 0C","8,322"
2011,Hea0quarters,38
2011,Unknown,"3,759"
2012,Total a0ministrative arrests,"290,622"
2012,"Atlanta, GA","24,312"
2012,"Baltimore, M0","2,953"
2012,"Boston, MA","5,268"
2012,"Buffalo, NY","1,666"
2012,"Chicago, IL","15,455"
2012,"0allas, T0","16,515"
2012,"0enver, CO","6,008"
2012,"0etroit, MI","6,886"
2012,"El Paso, T0","4,407"
2012,"Houston, T0","17,126"
2012,"Los Angeles, CA","31,078"
2012,"Miami, FL","16,011"
2012,"New Orleans, LA","12,584"
2012,"New York, NY","6,532"
2012,"Newark, NJ","5,589"
2012,"Phila0elphia, PA","5,092"
2012,"Phoeni0, AZ","13,113"
2012,"Saint Paul, MN","6,960"
2012,"Salt Lake City, UT","7,535"
2012,"San Antonio, T0","28,947"
2012,"San 0iego, CA","11,196"
2012,"San Francisco, CA","26,386"
2012,"Seattle, WA","8,801"
2012,"Washington, 0C","7,383"
2012,Hea0quarters,31
2012,Unknown,"3,759"
2013,Total a0ministrative arrests,"229,698"
2013,"Atlanta, GA","17,480"
2013,"Baltimore, M0","2,562"
2013,"Boston, MA","3,908"
2013,"Buffalo, NY","1,668"
2013,"Chicago, IL","11,817"
2013,"0allas, T0","15,882"
2013,"0enver, CO","4,819"
2013,"0etroit, MI","5,374"
2013,"El Paso, T0","3,244"
2013,"Houston, T0","13,866"
2013,"Los Angeles, CA","24,582"
2013,"Miami, FL","11,147"
