year,Sectors,Area_sector,Total
2011,Total Apprehensions,,340252
2011,Southwest sectors,Southwest sectors,327577
2011,"Big Bend, TX",Southwest sectors,4036
2011,"Del Rio, TX",Southwest sectors,16144
2011,"El Centro, CA",Southwest sectors,30191
2011,"El Paso, TX",Southwest sectors,10345
2011,"Laredo, TX",Southwest sectors,36053
2011,"Rio Grande Valley, TX",Southwest sectors,59243
2011,"San Diego, CA",Southwest sectors,42447
2011,"Tucson, AZ",Southwest sectors,123285
2011,"Yuma, AZ",Southwest sectors,5833
2011,Other sectors,Other sectors,12675
2011,"Blaine, WA",Other sectors,591
2011,"Buffalo, NY",Other sectors,2114
2011,"Detroit, MI",Other sectors,1531
2011,"Grand Forks, ND",Other sectors,468
2011,"Havre, MT",Other sectors,270
2011,"Houlton, ME",Other sectors,41
2011,"Miami, FL",Other sectors,4401
2011,"New Orleans, LA",Other sectors,1509
2011,"Ramey, PR",Other sectors,642
2011,"Spokane, WA",Other sectors,293
2011,"Swanton, VT",Other sectors,815
2012,Total Apprehensions,,364768
2012,Southwest sectors,Southwest sectors,356873
2012,"Big Bend, TX",Southwest sectors,3964
2012,"Del Rio, TX",Southwest sectors,21720
2012,"El Centro, CA",Southwest sectors,23916
2012,"El Paso, TX",Southwest sectors,9678
2012,"Laredo, TX",Southwest sectors,44872
2012,"Rio Grande Valley, TX",Southwest sectors,97762
2012,"San Diego, CA",Southwest sectors,28461
2012,"Tucson, AZ",Southwest sectors,120000
2012,"Yuma, AZ",Southwest sectors,6500
2012,Other sectors,Other sectors,7895
2012,"Blaine, WA",Other sectors,537
2012,"Buffalo, NY",Other sectors,1143
2012,"Detroit, MI",Other sectors,950
2012,"Grand Forks, ND",Other sectors,418
2012,"Havre, MT",Other sectors,102
2012,"Houlton, ME",Other sectors,41
2012,"Miami, FL",Other sectors,2509
2012,"New Orleans, LA",Other sectors,474
2012,"Ramey, PR",Other sectors,702
2012,"Spokane, WA",Other sectors,317
2012,"Swanton, VT",Other sectors,702
2013,Total Apprehensions,,420789
